person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,log_person_income,log_loan_amnt,income_to_loan_ratio,employment_to_age_ratio,credit_history_to_age_ratio,default_on_file_binary,loan_grade_numeric,income_group,loan_amount_group,loan_percent_income_group,age_group
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,11.082157933374816,10.434145214930487,1.911764705882353,0.18181818181818182,0.18181818181818182,0,3,Middle,Very Large,Very High Burden,Young
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,9.303921785597714,7.313886831633462,7.32,0.0,0.125,0,0,Low,Small,Moderate Burden,Young
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,11.289794413577894,10.432673587634051,2.3564064801178204,0.13636363636363635,0.18181818181818182,1,3,Upper-Middle,Very Large,Very High Burden,Young
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,11.123535457318734,10.404293143019792,2.052909090909091,0.3333333333333333,0.125,0,2,Middle,Very Large,Very High Burden,Young
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,9.305741456739435,8.428580533059634,2.4043715846994536,0.14285714285714285,0.14285714285714285,1,4,Low,Small,Very High Burden,Young
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,9.305741456739435,7.244941546337007,7.857142857142857,0.0,0.13043478260869565,0,0,Low,Small,Moderate Burden,Young
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,11.082157933374816,10.389026137075234,2.0,0.25,0.125,0,1,Middle,Very Large,Very High Burden,Young
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,9.340491056441229,8.294299608857235,2.84725,0.23809523809523808,0.09523809523809523,1,2,Low,Small,High Burden,Young
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,9.351926736038054,7.601402334583733,5.76,0.23809523809523808,0.14285714285714285,0,1,Low,Small,Moderate Burden,Young
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,11.695255355062795,10.373522431293592,3.75,0.08,0.08,0,0,High,Very Large,High Burden,Young
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,11.461642696843066,10.343386292962181,3.0595813204508855,0.2692307692307692,0.11538461538461539,1,2,Upper-Middle,Very Large,High Burden,Adult
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,9.392745258631441,7.824445930877619,4.8,0.23809523809523808,0.19047619047619047,0,0,Low,Small,High Burden,Young
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,10.778977123006351,10.308985993422082,1.6,0.045454545454545456,0.09090909090909091,0,4,Lower-Middle,Very Large,Very High Burden,Young
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,11.06665398721974,10.308985993422082,2.1333333333333333,0.3333333333333333,0.125,1,3,Middle,Very Large,Very High Burden,Young
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,11.225256725762893,10.308985993422082,2.5,0.16,0.16,1,3,Middle,Very Large,Very High Burden,Young
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.42,N,4,11.177466714598282,10.308985993422082,2.3833333333333333,0.13043478260869565,0.17391304347826086,0,3,Middle,Very Large,Very High Burden,Young
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,11.035711906538346,10.308985993422082,2.0683333333333334,0.23076923076923078,0.07692307692307693,0,4,Middle,Very Large,Very High Burden,Adult
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,9.392745258631441,7.824445930877619,4.8,0.16666666666666666,0.125,0,1,Low,Small,High Burden,Young
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,11.29838232387519,10.308985993422082,2.6896666666666667,0.3076923076923077,0.11538461538461539,0,0,Upper-Middle,Very Large,Very High Burden,Adult
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,11.101960259016467,10.308985993422082,2.21,0.18181818181818182,0.13636363636363635,0,1,Middle,Very Large,Very High Burden,Young
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,11.396717438335704,10.308985993422082,2.9676,0.0,0.11538461538461539,0,0,Upper-Middle,Very Large,High Burden,Adult
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.38,Y,4,11.264476926102367,10.308985993422082,2.6,0.16666666666666666,0.16666666666666666,1,3,Upper-Middle,Very Large,Very High Burden,Young
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,11.264476926102367,10.308985993422082,2.6,0.30434782608695654,0.13043478260869565,1,5,Upper-Middle,Very Large,Very High Burden,Young
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,11.429598202380475,10.308985993422082,3.0668,0.2608695652173913,0.13043478260869565,1,2,Upper-Middle,Very Large,High Burden,Young
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,11.48247656671073,10.308985993422082,3.2333333333333334,0.30434782608695654,0.08695652173913043,0,1,Upper-Middle,Very Large,High Burden,Young
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,11.695255355062795,10.308985993422082,4.0,0.36,0.16,0,0,High,Very Large,High Burden,Young
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,11.759793355371237,10.308985993422082,4.266666666666667,0.36,0.16,0,0,High,Very Large,High Burden,Young
24,12000,OWN,2.0,VENTURE,E,1750,10.99,0,0.15,Y,3,9.392745258631441,7.467942332285852,6.857142857142857,0.08333333333333333,0.125,1,4,Low,Small,Moderate Burden,Young
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,11.782960235741939,10.308985993422082,4.366666666666666,0.0,0.19047619047619047,0,0,High,Very Large,High Burden,Young
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,11.156264806643742,10.278527816830314,2.4054982817869415,0.2727272727272727,0.13636363636363635,0,3,Middle,Very Large,Very High Burden,Young
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,9.392745258631441,7.313886831633462,8.0,0.3181818181818182,0.13636363636363635,1,3,Low,Small,Moderate Burden,Young
25,12000,OWN,0.0,MEDICAL,C,3000,10.99,1,0.25,N,3,9.392745258631441,8.006700845440367,4.0,0.0,0.12,0,2,Low,Small,High Burden,Young
22,56950,RENT,6.0,MEDICAL,A,28000,10.99,1,0.49,N,2,10.949946527983677,10.239995502805316,2.0339285714285715,0.2727272727272727,0.09090909090909091,0,0,Middle,Very Large,Very High Burden,Young
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,9.392745258631441,8.006700845440367,4.0,0.2857142857142857,0.14285714285714285,1,2,Low,Small,High Burden,Young
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,11.082157933374816,10.239995502805316,2.3214285714285716,0.08695652173913043,0.08695652173913043,0,0,Middle,Very Large,Very High Burden,Young
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,11.350418300109132,10.239995502805316,3.0357142857142856,0.07692307692307693,0.11538461538461539,0,0,Upper-Middle,Very Large,High Burden,Adult
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,9.392745258631441,8.716207971151853,1.9672131147540983,0.07692307692307693,0.11538461538461539,0,0,Low,Medium,Very High Burden,Adult
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,11.385103457032141,10.239995502805316,3.142857142857143,0.2727272727272727,0.13636363636363635,0,1,Upper-Middle,Very Large,High Burden,Young
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,9.392745258631441,8.343077871169383,2.857142857142857,0.0,0.19047619047619047,1,2,Low,Small,High Burden,Young
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,9.392745258631441,8.46611040118692,2.526315789473684,0.2727272727272727,0.09090909090909091,0,0,Low,Small,Very High Burden,Young
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,11.326656125928176,10.239995502805316,2.9644285714285714,0.0,0.16666666666666666,1,3,Upper-Middle,Very Large,High Burden,Young
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,11.51293546492023,10.239995502805316,3.5714285714285716,0.2,0.12,0,1,Upper-Middle,Very Large,High Burden,Young
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,11.608244735642321,10.239995502805316,3.9285714285714284,0.38461538461538464,0.07692307692307693,0,0,High,Very Large,High Burden,Adult
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,10.99,1,0.23,N,4,9.392745258631441,7.901377353792616,4.444444444444445,0.0,0.15384615384615385,0,0,Low,Small,High Burden,Adult
22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4,11.58989576532275,10.239995502805316,3.857142857142857,0.2727272727272727,0.18181818181818182,0,1,High,Very Large,High Burden,Young
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,10.99,1,0.4,N,2,11.141876276228,10.225607282932941,2.5,0.08333333333333333,0.08333333333333333,0,0,Middle,Very Large,Very High Burden,Young
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,9.392745258631441,8.086717920303906,3.6923076923076925,0.23809523809523808,0.14285714285714285,1,4,Low,Small,High Burden,Young
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,11.156264806643742,10.221977646629885,2.5454545454545454,0.18181818181818182,0.13636363636363635,1,2,Middle,Very Large,Very High Burden,Young
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,11.200964361058276,10.205479252168017,2.7060998151571165,0.19230769230769232,0.07692307692307693,1,3,Middle,Very Large,Very High Burden,Adult
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,11.326607934898927,10.203629181337648,3.074074074074074,0.20833333333333334,0.08333333333333333,1,2,Upper-Middle,Very Large,High Burden,Young
24,73399,RENT,0.0,VENTURE,D,27000,10.99,1,0.37,N,3,11.203679214602607,10.203629181337648,2.7184814814814815,0.0,0.125,0,3,Middle,Very Large,Very High Burden,Young
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,11.042937835596494,10.165890277802454,2.4038461538461537,0.30434782608695654,0.08695652173913043,0,1,Middle,Very Large,Very High Burden,Young
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,11.695255355062795,10.150386692204734,4.6875,0.043478260869565216,0.13043478260869565,0,1,High,Very Large,High Burden,Young
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,9.422301633887823,7.3783837129967145,7.725,0.08333333333333333,0.125,0,2,Low,Small,Moderate Burden,Young
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,11.002116507732017,10.145492111491256,2.355250245338567,0.0,0.13636363636363635,0,1,Middle,Very Large,Very High Burden,Young
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,11.326607934898927,10.138599199626192,3.280632411067194,0.30434782608695654,0.13043478260869565,0,1,Upper-Middle,Very Large,High Burden,Young
22,12600,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.16,N,4,9.441531454869693,7.601402334583733,6.3,0.18181818181818182,0.18181818181818182,0,0,Low,Small,Moderate Burden,Young
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,9.441531454869693,7.467942332285852,7.2,0.12,0.12,0,2,Low,Small,Moderate Burden,Young
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,10.657282884047461,10.12667110305036,1.7,0.14285714285714285,0.14285714285714285,1,2,Lower-Middle,Very Large,Very High Burden,Young
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.61,N,3,10.62135173563291,10.12667110305036,1.64,0.08333333333333333,0.125,0,3,Lower-Middle,Very Large,Very High Burden,Young
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,9.458527693729824,8.006700845440367,4.272,0.0,0.16,1,2,Low,Small,High Burden,Young
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,9.469700127423375,8.202756381655638,3.5506849315068494,0.041666666666666664,0.125,0,1,Low,Small,High Burden,Young
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,9.469700127423375,8.412054873292933,2.88,0.0,0.16666666666666666,0,1,Low,Small,High Burden,Young
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,9.47247384058159,7.783640596221253,5.415,0.0,0.08695652173913043,1,2,Low,Small,Moderate Burden,Young
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,10.645448706505872,10.12667110305036,1.68,0.2727272727272727,0.09090909090909091,1,3,Lower-Middle,Very Large,Very High Burden,Young
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,10.778977123006351,10.12667110305036,1.92,0.07692307692307693,0.15384615384615385,0,1,Lower-Middle,Very Large,Very High Burden,Adult
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,9.47247384058159,8.188966863648876,3.61,0.04,0.12,0,3,Low,Small,High Burden,Young
22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,N,3,9.47247384058159,8.46611040118692,2.736,0.045454545454545456,0.13636363636363635,0,1,Low,Small,Very High Burden,Young
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,10.65398340661328,10.12667110305036,1.6944,0.04,0.12,1,4,Lower-Middle,Very Large,Very High Burden,Young
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,10.799595985047786,10.12667110305036,1.96,0.19047619047619047,0.09523809523809523,0,1,Lower-Middle,Very Large,Very High Burden,Young
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,10.809020627757324,10.12667110305036,1.97856,0.22727272727272727,0.13636363636363635,0,1,Lower-Middle,Very Large,Very High Burden,Young
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,10.819798284210286,10.12667110305036,2.0,0.043478260869565216,0.13043478260869565,0,0,Lower-Middle,Very Large,Very High Burden,Young
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,10.819798284210286,10.12667110305036,2.0,0.16,0.08,0,0,Lower-Middle,Very Large,Very High Burden,Young
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,10.691967639914864,10.12667110305036,1.76,0.08333333333333333,0.08333333333333333,0,3,Lower-Middle,Very Large,Very High Burden,Young
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,10.819798284210286,10.12667110305036,2.0,0.043478260869565216,0.17391304347826086,0,1,Lower-Middle,Very Large,Very High Burden,Young
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,10.819878279410617,10.12667110305036,2.00016,0.0,0.09090909090909091,0,1,Middle,Very Large,Very High Burden,Young
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,10.819878279410617,10.12667110305036,2.00016,0.13636363636363635,0.13636363636363635,0,2,Middle,Very Large,Very High Burden,Young
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,10.859018228147887,10.12667110305036,2.08,0.09090909090909091,0.18181818181818182,0,1,Middle,Very Large,Very High Burden,Young
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,9.488047863280759,8.507344855361422,2.6666666666666665,0.13043478260869565,0.17391304347826086,0,0,Low,Small,Very High Burden,Young
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,10.859018228147887,10.12667110305036,2.08,0.043478260869565216,0.08695652173913043,0,2,Middle,Very Large,Very High Burden,Young
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,10.736418414365376,10.12667110305036,1.84,0.07692307692307693,0.15384615384615385,0,3,Lower-Middle,Very Large,Very High Burden,Adult
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,10.87806606028079,10.12667110305036,2.12,0.22727272727272727,0.18181818181818182,1,2,Middle,Very Large,Very High Burden,Young
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,10.757924157061597,10.12667110305036,1.88,0.0,0.07692307692307693,1,3,Lower-Middle,Very Large,Very High Burden,Adult
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,10.757924157061597,10.12667110305036,1.88,0.043478260869565216,0.08695652173913043,0,4,Lower-Middle,Very Large,Very High Burden,Young
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,9.488047863280759,7.244941546337007,9.428571428571429,0.08695652173913043,0.17391304347826086,0,1,Low,Small,Moderate Burden,Young
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,9.488047863280759,8.412054873292933,2.933333333333333,0.0,0.19047619047619047,0,2,Low,Small,High Burden,Young
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,10.778977123006351,10.12667110305036,1.92,0.19230769230769232,0.07692307692307693,0,5,Lower-Middle,Very Large,Very High Burden,Adult
22,54996,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,N,4,10.915033917272405,10.12667110305036,2.19984,0.2727272727272727,0.18181818181818182,0,1,Middle,Very Large,Very High Burden,Young
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.45,Y,4,10.915106645867503,10.12667110305036,2.2,0.16666666666666666,0.16666666666666666,1,3,Middle,Very Large,Very High Burden,Young
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,10.915106645867503,10.12667110305036,2.2,0.17391304347826086,0.13043478260869565,0,1,Middle,Very Large,Very High Burden,Young
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,10.915106645867503,10.12667110305036,2.2,0.17391304347826086,0.13043478260869565,1,3,Middle,Very Large,Very High Burden,Young
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,10.918083973194406,10.12667110305036,2.20656,0.3333333333333333,0.16666666666666666,1,2,Middle,Very Large,Very High Burden,Young
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,10.933124826700707,10.12667110305036,2.24,0.15384615384615385,0.07692307692307693,0,2,Middle,Very Large,Very High Burden,Adult
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,9.541153770388567,8.955577146281511,1.7961290322580645,0.08695652173913043,0.17391304347826086,0,4,Low,Medium,Very High Burden,Young
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,11.002116507732017,10.12667110305036,2.4,0.0,0.125,0,1,Middle,Very Large,Very High Burden,Young
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,11.002116507732017,10.12667110305036,2.4,0.08333333333333333,0.125,0,1,Middle,Very Large,Very High Burden,Young
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,10.896757843893464,10.12667110305036,2.16,0.2692307692307692,0.07692307692307693,1,3,Middle,Very Large,Very High Burden,Adult
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,10.99,1,0.29,N,3,9.546884034617925,8.294299608857235,3.5,0.08695652173913043,0.13043478260869565,0,3,Low,Small,High Burden,Young
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,10.896757843893464,10.12667110305036,2.16,0.12,0.16,0,4,Middle,Very Large,Very High Burden,Young
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,11.002116507732017,10.12667110305036,2.4,0.13043478260869565,0.13043478260869565,0,2,Middle,Very Large,Very High Burden,Young
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,11.002116507732017,10.12667110305036,2.4,0.30434782608695654,0.17391304347826086,0,1,Middle,Very Large,Very High Burden,Young
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,11.002116507732017,10.12667110305036,2.4,0.2857142857142857,0.19047619047619047,0,1,Middle,Very Large,Very High Burden,Young
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,11.034244294530804,10.12667110305036,2.47836,0.36,0.08,0,2,Middle,Very Large,Very High Burden,Young
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,10.94024216782542,10.12667110305036,2.256,0.09090909090909091,0.13636363636363635,1,3,Middle,Very Large,Very High Burden,Young
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,11.097425172408931,10.12667110305036,2.64,0.125,0.08333333333333333,0,1,Middle,Very Large,Very High Burden,Young
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,11.097425172408931,10.12667110305036,2.64,0.2727272727272727,0.13636363636363635,1,2,Middle,Very Large,Very High Burden,Young
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,10.99,1,0.42,Y,2,11.002116507732017,10.12667110305036,2.4,0.08333333333333333,0.08333333333333333,1,4,Middle,Very Large,Very High Burden,Young
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.21,N,4,9.575052927597383,8.006700845440367,4.8,0.0,0.19047619047619047,0,1,Low,Small,High Burden,Young
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,11.11240312125122,10.12667110305036,2.67984,0.38461538461538464,0.07692307692307693,1,3,Middle,Very Large,Very High Burden,Adult
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,11.112462823634855,10.12667110305036,2.68,0.13043478260869565,0.17391304347826086,0,0,Middle,Very Large,Very High Burden,Young
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,11.112462823634855,10.12667110305036,2.68,0.08333333333333333,0.125,0,1,Middle,Very Large,Very High Burden,Young
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,11.127277689932466,10.12667110305036,2.72,0.20833333333333334,0.125,1,3,Middle,Very Large,Very High Burden,Young
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,11.141876276228,10.12667110305036,2.76,0.36,0.08,0,3,Middle,Very Large,Very High Burden,Young
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,11.156207662970246,10.12667110305036,2.79984,0.36,0.12,0,3,Middle,Very Large,Very High Burden,Young
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,9.575052927597383,8.294299608857235,3.6,0.09090909090909091,0.13636363636363635,0,1,Low,Small,High Burden,Young
