person_age,person_income,person_home_ownership,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
24,64000,1,8.0,4.0,30000,14.54,1,0.47,1,3,0,0,0,0,0
25,75000,1,4.0,4.0,30000,16.89,1,0.4,1,4,0,1,0,0,0
23,71500,1,3.0,4.0,30000,10.99,1,0.42,0,4,0,0,0,0,0
26,62050,1,6.0,5.0,30000,17.99,1,0.41,0,2,0,0,1,0,0
24,12000,0,4.0,2.0,2500,12.69,1,0.21,0,3,0,0,0,0,1
26,80690,1,8.0,1.0,30000,7.49,1,0.37,0,3,0,0,0,1,0
22,66300,1,4.0,2.0,30000,12.69,1,0.38,0,3,0,0,1,0,0
26,89028,1,0.0,1.0,30000,6.62,1,0.34,0,3,0,0,0,0,0
24,78000,1,4.0,4.0,30000,10.99,1,0.38,1,4,0,0,0,0,0
23,78000,1,7.0,6.0,30000,18.62,1,0.38,1,3,0,0,0,0,0
23,92004,1,6.0,3.0,30000,15.23,1,0.33,1,3,0,0,0,1,0
23,97000,1,7.0,2.0,30000,10.65,1,0.31,0,2,0,0,0,0,1
25,120000,1,9.0,1.0,30000,7.9,0,0.25,0,4,1,0,0,0,0
25,128000,1,9.0,1.0,30000,7.29,0,0.23,0,4,0,0,0,1,0
24,12000,0,2.0,5.0,1750,10.99,0,0.15,1,3,0,0,0,0,1
21,131000,1,0.0,1.0,30000,5.99,0,0.23,0,4,0,0,0,0,1
22,70000,1,6.0,4.0,29100,15.99,1,0.42,0,3,1,0,0,0,0
22,12000,2,7.0,4.0,1500,14.84,0,0.13,1,3,1,0,0,0,0
25,12000,0,0.0,3.0,3000,10.99,1,0.25,0,3,0,0,1,0,0
22,56950,1,6.0,1.0,28000,10.99,1,0.49,0,2,0,0,1,0,0
21,12000,0,6.0,3.0,3000,13.61,1,0.25,1,3,1,0,0,0,0
23,65000,1,2.0,1.0,28000,7.9,1,0.43,0,2,1,0,0,0,0
26,85000,1,2.0,1.0,28000,7.49,1,0.33,0,3,0,0,0,0,1
26,12000,0,2.0,1.0,6100,7.51,1,0.51,0,3,1,0,0,0,0
22,88000,1,6.0,2.0,28000,9.91,1,0.32,0,3,0,0,0,0,1
21,12000,0,0.0,3.0,4200,13.48,1,0.35,1,4,0,0,0,1,0
22,12000,0,6.0,1.0,4750,7.14,1,0.4,0,2,0,0,0,0,0
24,83004,1,0.0,4.0,28000,15.99,1,0.34,1,4,0,0,0,0,1
25,100000,1,5.0,2.0,28000,12.69,0,0.28,0,3,0,0,0,0,0
26,110000,1,10.0,1.0,28000,8.9,0,0.25,0,2,1,0,0,0,0
26,12000,0,0.0,1.0,2700,10.99,1,0.23,0,4,0,0,0,0,0
22,108000,1,6.0,2.0,28000,10.99,1,0.26,0,4,1,0,0,0,0
24,69000,1,2.0,1.0,27600,10.99,1,0.4,0,2,0,1,0,0,0
21,12000,2,5.0,5.0,3250,15.68,1,0.27,1,3,0,0,0,0,0
22,70000,1,4.0,3.0,27500,13.06,1,0.39,1,3,1,0,0,0,0
26,73200,1,5.0,4.0,27050,15.62,1,0.37,1,2,0,0,0,0,1
24,83000,1,5.0,3.0,27000,13.49,1,0.33,1,2,0,0,0,1,0
24,73399,1,0.0,4.0,27000,10.99,1,0.37,0,3,0,0,0,0,1
23,62500,1,7.0,2.0,26000,11.71,1,0.42,0,2,0,0,1,0,0
23,120000,1,1.0,2.0,25600,12.69,0,0.21,0,3,1,0,0,0,0
24,12360,0,2.0,3.0,1600,13.57,0,0.13,0,3,0,0,1,0,0
22,60000,1,0.0,2.0,25475,10.99,1,0.42,0,3,0,0,0,0,1
23,83000,1,7.0,2.0,25300,10.99,1,0.3,0,3,1,0,0,0,0
22,12600,2,4.0,1.0,2000,5.42,1,0.16,0,4,0,0,0,1,0
25,12600,0,3.0,3.0,1750,13.61,0,0.14,0,3,0,0,0,1,0
21,42500,1,3.0,3.0,25000,12.73,1,0.59,1,3,1,0,0,0,0
24,41000,1,2.0,4.0,25000,10.99,1,0.61,0,3,0,1,0,0,0
25,12816,0,0.0,3.0,3000,12.87,1,0.23,1,4,0,0,0,0,0
24,12960,2,1.0,2.0,3650,9.91,1,0.28,0,3,0,1,0,0,0
24,12960,2,0.0,2.0,4500,11.83,1,0.35,0,4,0,0,0,0,0
23,12996,0,0.0,3.0,2400,13.49,1,0.18,1,2,0,0,0,0,0
22,42000,1,6.0,4.0,25000,14.59,1,0.6,1,2,0,0,1,0,0
26,48000,1,2.0,2.0,25000,9.64,1,0.52,0,4,1,0,0,0,0
25,12996,0,1.0,4.0,3600,14.59,1,0.28,0,3,0,0,1,0,0
22,12996,0,1.0,2.0,4750,10.99,1,0.37,0,3,1,0,0,0,0
25,42360,1,1.0,5.0,25000,16.35,1,0.59,1,3,1,0,0,0,0
21,49000,1,4.0,2.0,25000,10.99,1,0.51,0,2,1,0,0,0,0
22,49464,1,5.0,2.0,25000,11.83,1,0.51,0,3,0,0,0,1,0
23,50000,1,1.0,1.0,25000,7.9,1,0.5,0,3,0,0,0,0,0
25,50000,1,4.0,1.0,25000,5.99,1,0.5,0,2,0,1,0,0,0
24,44000,1,2.0,4.0,25000,15.33,1,0.57,0,2,0,0,0,0,0
23,50000,1,1.0,2.0,25000,11.83,1,0.5,0,4,0,0,0,0,1
22,50004,1,0.0,2.0,25000,10.36,1,0.5,0,2,0,0,0,0,1
22,50004,1,3.0,3.0,25000,12.23,1,0.5,0,3,0,0,0,0,1
22,52000,1,2.0,2.0,25000,11.11,1,0.48,0,4,1,0,0,0,0
23,13200,0,3.0,1.0,4950,7.9,1,0.38,0,4,0,0,0,0,0
23,52000,1,1.0,3.0,25000,13.22,1,0.48,0,2,0,0,0,1,0
26,46000,1,2.0,4.0,25000,11.86,1,0.54,0,4,0,0,0,0,0
22,53000,1,5.0,3.0,25000,13.43,1,0.47,1,4,1,0,0,0,0
26,47000,1,0.0,4.0,25000,15.28,1,0.53,1,2,0,1,0,0,0
23,47000,1,1.0,5.0,25000,17.93,1,0.53,0,2,0,0,0,0,1
23,13200,2,2.0,2.0,1400,9.25,0,0.11,0,4,1,0,0,0,0
21,13200,0,0.0,3.0,4500,12.98,1,0.34,0,4,0,0,0,0,1
26,48000,1,5.0,6.0,25000,18.43,1,0.52,0,2,0,0,0,0,1
22,54996,1,6.0,2.0,25000,10.99,1,0.45,0,4,1,0,0,0,0
24,55000,1,4.0,4.0,25000,10.99,1,0.45,1,4,0,1,0,0,0
23,55000,1,4.0,2.0,25000,11.36,1,0.45,0,3,1,0,0,0,0
23,55000,1,4.0,4.0,25000,15.65,1,0.45,1,3,1,0,0,0,0
24,55164,1,8.0,3.0,25000,13.22,1,0.45,1,4,0,0,0,1,0
26,56000,1,4.0,3.0,25000,12.87,1,0.45,0,2,0,0,0,0,0
23,13920,0,2.0,5.0,7750,17.04,1,0.56,0,4,0,0,0,1,0
24,60000,1,0.0,2.0,25000,10.99,1,0.42,0,3,0,0,0,1,0
24,60000,1,2.0,2.0,25000,11.11,1,0.42,0,3,0,0,0,1,0
26,54000,1,7.0,4.0,25000,14.83,1,0.46,1,2,0,0,0,0,0
23,14000,0,2.0,4.0,4000,10.99,1,0.29,0,3,0,0,0,0,0
25,54000,1,3.0,5.0,25000,16.82,1,0.46,0,4,0,1,0,0,0
23,60000,1,3.0,3.0,25000,12.73,1,0.42,0,3,0,0,0,1,0
23,60000,1,7.0,2.0,25000,10.25,1,0.42,0,4,0,0,0,1,0
21,60000,1,6.0,2.0,25000,10.99,1,0.42,0,4,1,0,0,0,0
25,61959,1,9.0,3.0,25000,12.73,1,0.4,0,2,0,0,1,0,0
22,56400,1,2.0,4.0,25000,14.96,1,0.44,1,3,0,1,0,0,0
24,66000,1,3.0,2.0,25000,9.91,1,0.38,0,2,1,0,0,0,0
22,66000,1,6.0,3.0,25000,13.06,1,0.38,1,3,1,0,0,0,0
24,60000,1,2.0,5.0,25000,10.99,1,0.42,1,2,0,0,0,0,0
21,14400,0,0.0,2.0,3000,10.99,1,0.21,0,4,0,1,0,0,0
26,66996,1,10.0,4.0,25000,15.21,1,0.37,1,2,0,0,0,1,0
23,67000,1,3.0,1.0,25000,7.9,1,0.37,0,4,1,0,0,0,0
24,67000,1,2.0,2.0,25000,10.99,1,0.37,0,3,0,0,0,0,1
24,68000,1,5.0,4.0,25000,14.09,1,0.37,1,3,0,0,0,1,0
25,69000,1,9.0,4.0,25000,17.49,1,0.36,0,2,0,0,0,1,0
25,69996,1,9.0,4.0,25000,15.21,1,0.36,0,3,1,0,0,0,0
22,14400,0,2.0,2.0,4000,10.99,1,0.28,0,3,0,0,1,0,0
24,70000,1,3.0,2.0,25000,11.86,1,0.36,0,4,1,0,0,0,0
24,14400,0,5.0,1.0,6000,7.49,1,0.42,0,3,0,0,0,1,0
24,56100,1,7.0,4.0,25000,16.49,1,0.38,0,4,0,0,1,0,0
25,66000,1,9.0,4.0,25000,15.33,1,0.38,1,2,0,0,0,0,1
26,66000,1,3.0,2.0,25000,11.58,1,0.38,0,4,0,1,0,0,0
25,14400,0,7.0,1.0,5375,5.79,1,0.37,0,2,1,0,0,0,0
25,72612,1,9.0,3.0,25000,13.11,1,0.34,0,2,0,0,1,0,0
23,74000,1,3.0,2.0,25000,10.36,1,0.34,0,3,0,0,1,0,0
25,75000,1,9.0,2.0,25000,10.36,1,0.33,0,2,0,0,0,0,0
24,75000,1,4.0,2.0,25000,10.25,1,0.33,0,4,1,0,0,0,0
22,71000,1,1.0,4.0,25000,15.95,1,0.35,1,4,1,0,0,0,0
23,78000,1,7.0,3.0,25000,10.99,1,0.32,1,2,0,0,0,0,0
23,78000,1,1.0,2.0,25000,10.62,1,0.32,0,3,0,0,0,0,1
23,78504,1,7.0,2.0,25000,10.74,1,0.32,0,3,0,0,0,0,1
24,62050,1,8.0,4.0,25000,15.33,1,0.34,1,2,0,0,1,0,0
23,79416,1,7.0,4.0,25000,15.21,1,0.31,1,2,0,0,0,0,1
21,14400,0,4.0,3.0,6250,14.72,1,0.43,0,2,0,0,0,0,1
24,79631,1,8.0,4.0,25000,15.7,1,0.31,1,2,0,0,0,1,0
24,79632,1,0.0,3.0,25000,13.35,1,0.31,0,4,1,0,0,0,0
21,14400,2,0.0,3.0,1500,10.99,0,0.1,0,4,0,0,1,0,0
24,80000,1,6.0,1.0,25000,6.62,1,0.31,0,2,1,0,0,0,0
26,80000,1,5.0,3.0,25000,13.61,1,0.31,0,4,0,0,0,0,0
23,74004,1,7.0,5.0,25000,16.35,1,0.34,0,4,0,0,0,0,0
26,74004,1,10.0,4.0,25000,10.99,1,0.34,1,4,0,0,0,0,0
25,81000,1,5.0,1.0,25000,7.29,1,0.31,0,3,0,0,0,0,0
23,81600,1,1.0,2.0,25000,11.36,1,0.31,0,3,0,0,1,0,0
24,82000,1,8.0,2.0,25000,10.25,0,0.3,0,2,0,0,0,0,1
24,83000,1,5.0,2.0,25000,11.12,0,0.3,0,3,1,0,0,0,0
24,83000,1,5.0,4.0,25000,12.92,0,0.3,1,3,0,0,0,1,0
23,14400,0,2.0,5.0,4000,16.7,1,0.28,0,2,0,1,0,0,0
22,14400,0,0.0,2.0,2100,11.14,0,0.15,0,4,0,0,0,1,0
22,84500,1,6.0,6.0,25000,18.3,0,0.3,0,4,0,0,0,1,0
24,85000,1,5.0,2.0,25000,10.62,0,0.29,0,4,0,0,1,0,0
23,14664,2,0.0,3.0,6000,10.99,1,0.41,0,4,0,0,0,0,0
24,87000,1,8.0,4.0,25000,14.84,0,0.29,0,3,0,1,0,0,0
24,75000,1,0.0,5.0,25000,14.7,1,0.33,1,3,0,0,0,0,1
23,76000,1,7.0,4.0,25000,16.02,1,0.33,0,4,0,0,0,0,0
23,66215,1,1.0,4.0,25000,15.37,1,0.32,1,2,0,0,1,0,0
25,90000,1,9.0,2.0,25000,10.99,0,0.28,0,4,0,0,1,0,0
21,15000,0,0.0,1.0,6200,7.9,1,0.41,0,2,0,1,0,0,0
23,15000,0,7.0,2.0,4475,10.99,1,0.3,0,4,0,0,1,0,0
23,78000,1,2.0,4.0,25000,16.32,1,0.32,1,3,0,0,0,0,1
25,66300,1,3.0,5.0,25000,17.93,1,0.32,1,4,0,0,1,0,0
23,90000,1,0.0,2.0,25000,11.36,0,0.28,0,3,0,0,0,0,0
24,79000,1,9.0,4.0,25000,14.96,1,0.32,1,4,0,0,0,0,0
24,91800,1,4.0,3.0,25000,13.43,0,0.27,1,3,0,0,0,1,0
25,92000,1,6.0,2.0,25000,12.69,0,0.27,0,3,0,1,0,0,0
24,92000,1,1.0,3.0,25000,12.73,0,0.27,1,4,0,0,0,0,1
23,93600,1,3.0,4.0,25000,15.21,0,0.27,0,4,0,0,0,0,1
23,15000,2,1.0,3.0,1750,12.68,0,0.12,1,3,0,0,1,0,0
23,70550,1,3.0,6.0,25000,19.04,1,0.3,1,4,0,0,1,0,0
25,83800,1,2.0,4.0,25000,15.95,1,0.3,1,3,0,0,0,0,0
23,15000,0,4.0,3.0,4000,13.98,1,0.27,0,4,0,0,0,0,0
23,15000,0,4.0,2.0,4600,10.99,1,0.31,0,2,0,0,0,0,1
22,88000,1,6.0,4.0,25000,15.58,1,0.28,1,2,0,0,0,0,0
25,74800,1,2.0,2.0,25000,10.99,1,0.28,0,2,0,0,1,0,0
25,88000,1,0.0,4.0,25000,14.96,1,0.28,0,4,0,0,0,0,1
25,15000,0,2.0,4.0,1750,15.31,0,0.12,1,4,0,1,0,0,0
26,88000,1,2.0,4.0,25000,15.65,1,0.28,0,3,0,0,0,0,1
25,100000,1,1.0,2.0,25000,9.33,0,0.25,0,4,0,0,0,0,1
23,15000,2,0.0,3.0,3600,13.47,1,0.24,0,4,0,0,0,1,0
24,102400,1,8.0,2.0,25000,10.36,0,0.24,0,3,0,0,0,1,0
24,92000,1,1.0,5.0,25000,16.77,1,0.27,1,4,0,1,0,0,0
23,93000,1,0.0,4.0,25000,14.59,1,0.27,1,2,0,0,0,0,0
21,15000,0,0.0,3.0,3175,11.54,1,0.21,1,3,0,1,0,0,0
25,96000,1,2.0,5.0,25000,15.68,1,0.26,1,4,0,1,0,0,0
21,15120,2,0.0,2.0,1500,10.59,0,0.1,0,2,1,0,0,0,0
24,97908,1,8.0,4.0,25000,12.61,1,0.26,1,2,0,1,0,0,0
26,110000,1,3.0,3.0,25000,10.99,0,0.23,1,2,0,0,0,1,0
23,15204,2,7.0,1.0,2800,8.49,1,0.18,0,3,0,0,0,1,0
24,83300,1,0.0,4.0,25000,10.99,1,0.26,0,2,0,0,1,0,0
24,110000,1,7.0,4.0,25000,15.7,0,0.23,1,2,0,1,0,0,0
22,15360,0,7.0,2.0,2500,12.53,1,0.16,0,3,0,1,0,0,0
25,134300,1,3.0,4.0,5000,16.49,1,0.03,0,2,0,0,1,0,0
22,100580,1,6.0,4.0,25000,14.96,1,0.25,1,2,0,0,0,0,0
25,113000,1,7.0,3.0,25000,12.73,0,0.22,1,4,0,0,1,0,0
24,120000,1,8.0,2.0,25000,10.65,0,0.21,0,4,1,0,0,0,0
25,120000,1,6.0,2.0,25000,10.74,0,0.21,0,2,0,0,1,0,0
23,120000,1,7.0,2.0,25000,9.99,0,0.21,0,2,1,0,0,0,0
24,91800,1,5.0,4.0,25000,15.33,1,0.23,1,2,0,0,1,0,0
21,15600,0,5.0,1.0,1000,7.29,0,0.06,0,4,0,0,0,0,1
26,108000,1,2.0,4.0,25000,15.05,1,0.23,0,3,0,0,0,1,0
26,129996,1,6.0,2.0,25000,10.75,0,0.19,0,3,0,0,0,1,0
23,130000,1,4.0,4.0,25000,16.02,0,0.19,1,2,1,0,0,0,0
23,130000,1,7.0,2.0,25000,11.49,0,0.19,0,4,0,0,0,0,1
24,133300,1,6.0,2.0,25000,10.37,0,0.19,0,2,0,0,0,0,0
24,15600,0,5.0,1.0,3300,6.39,1,0.21,0,4,0,1,0,0,0
24,134000,1,8.0,4.0,25000,16.07,0,0.19,1,3,0,0,0,1,0
25,134000,1,7.0,2.0,25000,10.62,0,0.19,0,2,0,0,1,0,0
25,15600,0,0.0,6.0,3200,18.09,1,0.21,0,2,0,0,0,0,1
25,135000,1,5.0,2.0,25000,11.36,0,0.19,0,4,1,0,0,0,0
26,135660,1,10.0,2.0,25000,12.53,0,0.18,0,4,0,0,0,0,0
23,16000,0,7.0,1.0,6000,7.9,1,0.38,0,2,0,0,1,0,0
23,16000,2,3.0,3.0,2275,13.06,0,0.14,1,4,0,0,0,0,0
23,16000,0,7.0,1.0,2000,6.39,0,0.13,0,3,0,0,0,1,0
23,16000,2,1.0,3.0,5600,12.84,1,0.35,0,4,0,0,1,0,0
24,16020,0,3.0,5.0,3625,17.14,1,0.23,1,2,0,0,0,0,1
22,16094,2,2.0,1.0,5500,7.14,1,0.34,0,3,0,0,0,0,1
22,16200,0,6.0,2.0,2000,12.42,0,0.12,0,3,0,0,0,1,0
25,16400,0,1.0,1.0,5000,8.94,1,0.3,0,4,0,0,0,1,0
23,16500,0,6.0,2.0,4375,9.63,1,0.27,0,4,0,0,0,0,1
25,49500,1,6.0,3.0,24750,14.22,1,0.5,0,3,0,0,0,1,0
23,60000,1,4.0,2.0,24750,9.33,1,0.41,0,3,0,0,0,0,0
24,84200,1,8.0,3.0,24500,13.85,0,0.29,0,4,0,0,1,0,0
22,16800,2,5.0,2.0,2000,10.65,0,0.12,0,2,1,0,0,0,0
24,92000,1,8.0,2.0,24500,11.46,0,0.27,0,4,0,0,1,0,0
25,125800,2,0.0,4.0,10000,14.09,1,0.07,0,4,0,0,1,0,0
25,54000,1,2.0,3.0,24250,13.98,1,0.45,0,4,0,0,0,1,0
23,62500,1,1.0,2.0,24250,10.62,1,0.39,0,4,1,0,0,0,0
24,16800,2,4.0,1.0,3900,10.99,1,0.23,0,3,0,0,0,0,0
25,68400,1,9.0,5.0,24250,17.56,1,0.35,0,4,0,0,0,1,0
26,56045,1,1.0,4.0,24250,14.96,1,0.37,0,2,0,0,1,0,0
22,74000,1,7.0,4.0,24250,15.65,1,0.33,1,2,0,0,0,0,0
24,65453,1,9.0,4.0,24250,15.7,1,0.31,0,2,0,0,1,0,0
24,89908,1,1.0,2.0,24250,12.53,0,0.27,0,3,0,0,0,0,1
26,78000,1,0.0,5.0,24250,17.56,1,0.31,1,3,0,1,0,0,0
23,100000,1,0.0,3.0,24250,12.87,0,0.24,1,2,0,0,0,1,0
23,103000,1,6.0,4.0,24250,15.7,0,0.24,0,2,0,0,0,1,0
22,16800,2,0.0,3.0,4750,13.85,1,0.28,1,2,0,1,0,0,0
25,111996,1,9.0,4.0,24250,10.99,0,0.22,0,3,0,0,0,1,0
21,16800,2,0.0,2.0,6000,10.39,1,0.36,0,4,0,0,0,0,1
25,115200,1,0.0,2.0,24250,11.36,0,0.21,0,2,0,1,0,0,0
22,108000,1,1.0,4.0,24150,14.96,1,0.22,1,3,0,1,0,0,0
22,43000,1,7.0,3.0,24000,13.85,1,0.56,1,3,0,0,0,0,0
23,47004,1,1.0,2.0,24000,11.58,1,0.51,0,4,0,0,0,0,1
24,48000,1,4.0,4.0,24000,16.29,1,0.5,1,2,0,0,0,0,1
26,48000,1,4.0,1.0,24000,10.99,1,0.5,0,3,0,0,1,0,0
21,44964,1,2.0,4.0,24000,16.29,1,0.53,1,2,1,0,0,0,0
25,52000,1,4.0,2.0,24000,10.74,1,0.46,0,2,0,0,0,1,0
22,17352,2,4.0,3.0,2250,15.27,0,0.13,1,3,1,0,0,0,0
24,47000,1,3.0,6.0,24000,17.8,1,0.51,0,2,0,0,0,1,0
22,17400,2,6.0,2.0,1000,11.36,0,0.06,0,2,0,0,0,0,1
22,49000,1,2.0,5.0,24000,17.56,1,0.49,0,4,0,0,1,0,0
26,60000,1,0.0,1.0,24000,7.9,1,0.4,0,4,0,0,0,1,0
25,60000,1,3.0,2.0,24000,10.99,1,0.4,0,4,0,0,0,1,0
22,60000,1,0.0,1.0,24000,7.29,1,0.4,0,3,0,0,0,1,0
21,60000,1,5.0,2.0,24000,10.75,1,0.4,0,2,0,0,1,0,0
26,62004,1,9.0,1.0,24000,7.9,1,0.39,0,3,0,0,0,0,0
22,62400,1,3.0,4.0,24000,14.84,1,0.38,0,2,1,0,0,0,0
26,65000,1,10.0,1.0,24000,10.99,1,0.37,0,2,0,0,0,0,0
22,17760,2,6.0,3.0,4975,10.99,1,0.28,1,3,1,0,0,0,0
23,59000,1,5.0,5.0,24000,19.69,1,0.41,1,2,0,0,0,0,0
23,66000,1,6.0,1.0,24000,10.99,1,0.36,0,4,0,0,0,0,1
24,60000,1,0.0,4.0,24000,14.96,1,0.4,0,4,0,0,0,0,1
25,66143,1,9.0,1.0,24000,6.99,1,0.36,0,3,1,0,0,0,0
22,62250,1,3.0,5.0,24000,16.45,1,0.39,1,4,0,0,0,1,0
24,70000,1,8.0,2.0,24000,10.99,1,0.34,0,4,1,0,0,0,0
23,74000,1,7.0,2.0,24000,10.99,1,0.32,0,2,0,0,0,0,0
22,18000,0,3.0,1.0,3000,7.9,1,0.17,0,4,0,0,0,1,0
22,75000,1,6.0,2.0,24000,12.69,1,0.32,0,4,1,0,0,0,0
24,75000,1,9.0,2.0,24000,10.37,1,0.32,0,3,0,0,1,0,0
24,75000,1,7.0,3.0,24000,10.99,1,0.32,0,3,0,1,0,0,0
26,69000,1,0.0,6.0,24000,15.83,1,0.35,0,3,0,0,0,0,0
23,78000,1,4.0,3.0,24000,13.92,1,0.31,0,3,0,0,0,1,0
22,18000,0,4.0,2.0,2000,11.49,0,0.11,0,3,0,0,0,0,1
24,80000,1,2.0,2.0,24000,10.25,0,0.3,0,2,0,0,1,0,0
22,18000,0,1.0,1.0,3500,7.49,1,0.19,0,4,0,1,0,0,0
23,18000,0,3.0,1.0,4000,5.99,1,0.22,0,2,1,0,0,0,0
23,74700,1,6.0,4.0,24000,12.92,1,0.32,0,2,0,0,0,1,0
26,88596,1,3.0,2.0,24000,11.58,0,0.27,0,3,0,0,0,1,0
25,95000,1,4.0,1.0,24000,8.9,0,0.25,0,2,1,0,0,0,0
22,83000,1,6.0,5.0,24000,19.69,1,0.29,0,3,0,0,0,0,0
25,95000,1,9.0,1.0,24000,6.54,0,0.25,0,4,0,0,0,0,1
21,18000,0,3.0,4.0,4900,14.54,1,0.27,1,4,0,1,0,0,0
21,18000,0,4.0,2.0,5000,11.11,1,0.28,0,2,1,0,0,0,0
26,100000,1,5.0,3.0,24000,12.73,0,0.24,0,4,0,0,0,1,0
24,110000,1,7.0,4.0,24000,15.62,0,0.22,0,4,0,0,0,0,1
24,18000,0,0.0,1.0,6250,6.54,1,0.35,0,4,0,1,0,0,0
22,98000,1,7.0,6.0,24000,10.99,1,0.24,1,2,0,0,0,0,0
26,103872,1,6.0,,24000,20.03,1,0.23,0,4,0,0,0,0,0
22,120000,1,4.0,2.0,24000,9.91,0,0.2,0,4,1,0,0,0,0
24,120000,1,1.0,2.0,24000,12.69,0,0.2,0,4,0,0,0,0,1
26,108000,1,9.0,,24000,20.16,1,0.22,0,3,1,0,0,0,0
24,124080,1,4.0,4.0,24000,16.49,0,0.19,1,4,0,0,0,1,0
23,18000,2,1.0,4.0,2500,15.95,1,0.14,0,2,0,0,1,0,0
24,130000,1,7.0,2.0,24000,11.49,0,0.18,0,3,0,0,0,0,0
25,135000,1,8.0,2.0,24000,10.99,0,0.18,0,2,0,0,0,1,0
24,135000,1,4.0,3.0,24000,13.79,0,0.18,0,2,0,1,0,0,0
23,114750,1,2.0,,24000,20.03,1,0.18,1,3,0,0,1,0,0
23,138000,1,7.0,4.0,24000,16.0,1,0.17,1,2,0,0,0,0,0
24,18000,0,6.0,1.0,13000,7.88,1,0.72,0,3,0,0,0,1,0
21,18000,0,0.0,2.0,6250,10.62,1,0.35,0,4,0,0,0,0,1
21,18000,0,1.0,2.0,2500,11.36,0,0.14,0,3,0,0,0,1,0
24,43896,1,8.0,2.0,23975,10.99,1,0.55,0,2,0,1,0,0,0
23,120000,1,4.0,3.0,23750,13.47,0,0.2,0,2,0,0,1,0,0
24,54996,1,2.0,2.0,23600,11.89,1,0.43,0,3,0,0,0,1,0
24,18000,2,0.0,2.0,10000,12.18,1,0.56,0,2,0,0,0,0,0
25,102000,1,9.0,3.0,23600,13.49,0,0.23,0,4,0,0,0,0,0
23,75000,1,3.0,5.0,23575,14.5,1,0.31,0,4,0,0,0,1,0
22,18000,0,2.0,3.0,4000,10.99,1,0.22,0,2,0,0,1,0,0
22,18000,0,1.0,4.0,5400,15.31,1,0.3,1,2,0,0,1,0,0
25,18000,2,1.0,2.0,4000,10.99,1,0.22,0,3,0,0,1,0,0
